November 2018 California County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,66.2,3.3,114,62.9
CA-003,Alpine County,California,50.8,3.7,105,47.1
CA-005,Amador County,California,64.8,3.8,110,61
CA-007,Butte County,California,65,4,110,61
CA-009,Calaveras County,California,65.3,3.9,109,61.4
CA-011,Colusa County,California,67.3,3.9,107,63.4
CA-013,Contra Costa County,California,66.9,3.7,116,63.2
CA-015,Del Norte County,California,56.9,6.2,128,50.7
CA-017,El Dorado County,California,59.8,3.1,103,56.7
CA-019,Fresno County,California,62.6,3.9,112,58.7
CA-021,Glenn County,California,66,4.7,110,61.3
CA-023,Humboldt County,California,58.2,4.4,125,53.8
CA-025,Imperial County,California,77,0.8,71,76.2
CA-027,Inyo County,California,64.4,2.8,97,61.6
CA-029,Kern County,California,67.4,3.1,102,64.3
CA-031,Kings County,California,69.6,3.9,114,65.7
CA-033,Lake County,California,63.5,4.5,111,59
CA-035,Lassen County,California,51.8,3.5,104,48.3
CA-037,Los Angeles County,California,69.4,3.3,100,66.1
CA-039,Madera County,California,63,3.7,109,59.3
CA-041,Marin County,California,65.2,4.1,118,61.1
CA-043,Mariposa County,California,62.5,3.5,106,59
CA-045,Mendocino County,California,62.4,3.8,113,58.6
CA-047,Merced County,California,67.6,3.5,111,64.1
CA-049,Modoc County,California,52,4.6,109,47.4
CA-051,Mono County,California,53.1,4.1,108,49
CA-053,Monterey County,California,70.9,4.4,116,66.5
CA-055,Napa County,California,67.8,4.8,116,63
CA-057,Nevada County,California,59.5,4.2,111,55.4
CA-059,Orange County,California,74.2,2.9,100,71.3
CA-061,Placer County,California,60.1,3.5,107,56.6
CA-063,Plumas County,California,53.6,4,111,49.6
CA-065,Riverside County,California,72.7,1.6,80,71.1
CA-067,Sacramento County,California,68.4,3.6,109,64.8
CA-069,San Benito County,California,68.2,4.5,116,63.7
CA-071,San Bernardino County,California,68.5,1.9,85,66.6
CA-073,San Diego County,California,72,2.6,93,69.4
CA-075,San Francisco County,California,65.7,3.9,122,61.8
CA-077,San Joaquin County,California,68.7,4.5,116,64.2
CA-079,San Luis Obispo County,California,71.6,5.7,121,65.9
CA-081,San Mateo County,California,66.1,3.4,114,62.7
CA-083,Santa Barbara County,California,71.2,5.8,123,65.4
CA-085,Santa Clara County,California,67.3,4.5,119,62.8
CA-087,Santa Cruz County,California,69.7,5.6,124,64.1
CA-089,Shasta County,California,61.1,5.3,117,55.8
CA-091,Sierra County,California,54.8,4.7,114,50.1
CA-093,Siskiyou County,California,53.3,5.4,120,47.9
CA-095,Solano County,California,68.4,4,116,64.4
CA-097,Sonoma County,California,66.6,4.3,116,62.3
CA-099,Stanislaus County,California,67.6,4.1,114,63.5
CA-101,Sutter County,California,68.5,3.6,107,64.9
CA-103,Tehama County,California,64.5,5.5,118,59
CA-105,Trinity County,California,58,6.4,125,51.6
CA-107,Tulare County,California,60.2,2.9,100,57.3
CA-109,Tuolumne County,California,58,4,109,54
CA-111,Ventura County,California,69.2,4.7,112,64.5
CA-113,Yolo County,California,68.7,4.1,113,64.6
CA-115,Yuba County,California,66.9,4.1,110,62.8
